Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,196553009,2521.675429,3999924,51.31699646,623707,4200412,53.88915583,63159,0.81029794,10353
United States of America,Americas,34564448,10442.35,471734,142.52,90660,607095,183.41,2155,0.65,409
India,South-East Asia,31572344,2287.84,279282,20.24,44230,423217,30.67,3747,0.27,555
Brazil,Americas,19797086,9313.67,323132,152.02,48013,553179,260.25,7575,3.56,1344
Russian Federation,Europe,6242066,4277.31,163544,112.07,23564,157771,108.11,5475,3.75,794
France,Europe,5953274,9153.34,139817,214.97,25080,110746,170.28,180,0.28,26
The United Kingdom,Europe,5801565,8546.04,199240,293.49,30633,129515,190.78,535,0.79,85
Turkey,Europe,5682630,6737.84,118727,140.77,22161,51184,60.69,423,0.5,60
Argentina,Americas,4891810,10823.6,92959,205.68,15883,104822,231.93,2004,4.43,470
Colombia,Americas,4757139,9349.19,77145,151.61,9364,119801,235.44,2319,4.56,319
Spain,Europe,4422291,9343.01,148549,313.84,13696,81442,172.06,189,0.4,11
Italy,Europe,4336906,7271.63,34513,57.87,6167,128029,214.66,109,0.18,19
Iran (Islamic Republic of),Eastern Mediterranean,3826447,4555.68,202607,241.22,34433,90074,107.24,2011,2.39,292
Germany,Europe,3766765,4529.17,14173,17.04,2454,91637,110.18,145,0.17,30
Indonesia,South-East Asia,3372374,1232.94,289964,106.01,41168,92311,33.75,11713,4.28,1759
Poland,Europe,2882786,7594.65,838,2.21,156,75259,198.27,24,0.06,2
Mexico,Americas,2790874,2164.6,97379,75.53,19028,239616,185.85,2409,1.87,537
South Africa,Africa,2422151,4083.97,79821,134.59,13626,71431,120.44,2806,4.73,523
Ukraine,Europe,2251869,5149.04,4450,10.18,962,52930,121.03,119,0.27,14
Peru,Americas,2107873,6392.95,10062,30.52,1502,196138,594.86,709,2.15,80
Netherlands,Europe,1859199,10680.4,32100,184.4,4506,17815,102.34,26,0.15,3
Czechia,Europe,1673429,15648.39,1289,12.05,210,30363,283.93,16,0.15,0
Chile,Americas,1613288,8439.38,8575,44.86,1371,35295,184.63,503,2.63,119
