ID,carat,cut,colour,clarity,depth,price,x,y,P,PC
1,0.23,Ideal,E,SI2,61.5,326,1417.391304,5.300813008,Negative,Negative
2,0.21,Premium,E,SI1,59.8,326,1552.380952,5.451505017,Positive,Negative
3,0.23,Good,E,VS1,56.9,327,1421.73913,5.746924429,Positve,Negative
4,0.29,Premium,I,VS2,62.4,334,1151.724138,5.352564103,NR,Negative
5,0.31,Good,J,SI2,63.3,335,1080.645161,5.292259084,NR,Negative
6,0.24,Very Good,J,VVS2,62.8,336,1400,5.350318471,SP,Negative
7,0.24,Very Good,I,VVS1,62.3,336,1400,5.393258427,SN,Negative
8,0.26,Very Good,H,SI1,61.9,337,1296.153846,5.444264943,SN,Negative
9,0.22,Fair,E,VS2,65.1,337,1531.818182,5.176651306,Negative,Negative
10,0.23,Very Good,H,VS1,59.4,338,1469.565217,5.69023569,Negative,Negative
11,0.3,Good,J,SI1,64,339,1130,5.296875,Negative,Negative
12,0.23,Ideal,J,VS1,62.8,340,1478.26087,5.414012739,Negative,Negative
13,0.22,Premium,F,SI1,60.4,342,1554.545455,5.662251656,SN,Negative
14,0.31,Ideal,J,SI2,62.2,344,1109.677419,5.530546624,Negative,Negative
15,0.2,Premium,E,SI2,60.2,345,1725,5.73089701,SN,Negative
16,0.32,Premium,E,I1,60.9,345,1078.125,5.665024631,SN,Negative
17,0.3,Ideal,I,SI2,62,348,1160,5.612903226,SP,Negative
18,0.3,Good,J,SI1,63.4,351,1170,5.536277603,NR,Negative
19,0.3,Good,J,SI1,63.8,351,1170,5.501567398,NR,Negative
20,0.3,Very Good,J,SI1,62.7,351,1170,5.598086124,NR,Negative
21,0.3,Good,I,SI2,63.3,351,1170,5.545023697,Negative,Negative
22,0.23,Very Good,E,VS2,63.8,352,1530.434783,5.517241379,Positive,Negative
23,0.23,Very Good,H,VS1,61,353,1534.782609,5.786885246,Positve,Negative
24,0.31,Very Good,J,SI1,59.4,353,1138.709677,5.942760943,NR,Negative
25,0.31,Very Good,J,SI1,58.1,353,1138.709677,6.075731497,NR,Negative
26,0.23,Very Good,G,VVS2,60.4,354,1539.130435,5.860927152,SP,Negative
27,0.24,Premium,I,VS1,62.5,355,1479.166667,5.68,SN,Negative
28,0.3,Very Good,J,VS2,62.2,357,1190,5.739549839,SN,Negative
29,0.23,Very Good,D,VS2,60.5,357,1552.173913,5.900826446,Negative,Negative
30,0.23,Very Good,F,VS1,60.9,357,1552.173913,5.862068966,Negative,Negative
31,0.23,Very Good,F,VS1,60,402,1747.826087,6.7,Negative,Negative
32,0.23,Very Good,F,VS1,59.8,402,1747.826087,6.722408027,Negative,Negative
33,0.23,Very Good,E,VS1,60.7,402,1747.826087,6.622734761,SN,Negative
34,0.23,Very Good,E,VS1,59.5,402,1747.826087,6.756302521,Negative,Negative
35,0.23,Very Good,D,VS1,61.9,402,1747.826087,6.494345719,SN,Negative
